Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Blueberry Faygo,Lil Mosey,4/29/20,"1,229,350",4,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Toosie Slide,Drake,4/29/20,"1,225,565",5,us,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,0.834,0.454,-9.75,0.201,0.321,6.15E-06,0.114,0.837,81.618,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",4/30/20,"2,120,057",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Savage Remix (feat. Beyoncé),Megan Thee Stallion,4/30/20,"1,772,566",2,us,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,0.822,0.743,-4.772,0.28,0.016,0,0.127,0.636,84.459,"['houston rap', 'pop', 'pop rap', 'trap queen']"
ROCKSTAR (feat. Roddy Ricch),DaBaby,4/30/20,"1,267,505",3,us,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,"['north carolina hip hop', 'rap']"
Righteous,Juice WRLD,4/30/20,"1,241,621",4,us,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,0.707,0.622,-6.951,0.031,0.0397,0,0.149,0.223,142.942,"['chicago rap', 'melodic rap']"
Blueberry Faygo,Lil Mosey,4/30/20,"1,215,613",5,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Pain 1993 (with Playboi Carti),Drake,5/1/20,"2,981,299",1,us,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo,0.825,0.373,-5.532,0.108,0.163,0,0.368,0.12,77.271,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Toosie Slide,Drake,5/1/20,"2,375,313",2,us,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",5/1/20,"2,135,023",3,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Chicago Freestyle (feat. Giveon),Drake,5/1/20,"1,961,616",4,us,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,0.735,0.449,-7.507,0.347,0.629,0,0.113,0.0397,122.947,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
D4L,"Future, Drake, Young Thug",5/1/20,"1,792,991",5,us,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK,0.718,0.706,-5.709,0.06,0.0128,0,0.352,0.815,170.004,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",5/2/20,"1,975,803",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Toosie Slide,Drake,5/2/20,"1,972,102",2,us,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Pain 1993 (with Playboi Carti),Drake,5/2/20,"1,780,788",3,us,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo,0.825,0.373,-5.532,0.108,0.163,0,0.368,0.12,77.271,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Savage Remix (feat. Beyoncé),Megan Thee Stallion,5/2/20,"1,508,060",4,us,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,0.822,0.743,-4.772,0.28,0.016,0,0.127,0.636,84.459,"['houston rap', 'pop', 'pop rap', 'trap queen']"
ROCKSTAR (feat. Roddy Ricch),DaBaby,5/2/20,"1,414,889",5,us,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,"['north carolina hip hop', 'rap']"
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",5/3/20,"1,722,617",1,us,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,-7.648,0.0514,0.233,0,0.157,0.28,129.979,[]
Toosie Slide,Drake,5/3/20,"1,576,355",2,us,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,3.04E-06,0.113,0.845,81.604,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
ROCKSTAR (feat. Roddy Ricch),DaBaby,5/3/20,"1,295,170",3,us,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,89.977,"['north carolina hip hop', 'rap']"
